"","value","scale","L1","L2","Mean","Min","Max","N"
"K_release_Liver",-4.89285225843987,-4.89285225843987,3622836.03275428,5260682.45186452,3621015.31731507,-729388.360116445,55806591.6141004,6728
"K_max_Liver",1.38629436111989,1.38629436111989,27584391.5644894,38925576.9424579,-27577862.501432,-96352120.5342204,1741434.76436939,6728
"K_50_Liver",3.17805383034795,3.17805383034795,18745971.3373987,26469201.9740929,-18741378.6339637,-80962253.7284213,1335480.04582735,6728
"n_Liver",-2.30258509299405,-2.30258509299405,14205986.6079221,20054008.2654728,14187016.2658947,-16391027.8259664,59512633.1339998,6728
"K_release_Spleen",-5.80914299031403,-5.80914299031403,38793647.1572282,54730517.7588008,38784805.4037129,-2200001.0540637,112513618.564162,6728
"K_max_Spleen",2.30258509299405,2.30258509299405,12250796.8877857,17333103.1361419,-12247577.2556541,-80294137.7225125,1307592.19184711,6728
"K_50_Spleen",3.17805383034795,3.17805383034795,28357399.8217166,40029414.6652958,-28350570.8409645,-111724008.094416,1911714.68064795,6728
"n_Spleen",-2.30258509299405,-2.30258509299405,17531228.2116137,24745733.9300722,17526975.5245215,-1174434.837435,67311311.3305135,6728
"K_release_Kidney",-4.60517018598809,-4.60517018598809,2937012.62758351,4245224.85976107,-2888330.16963446,-33582819.5080921,27945430.3821922,6728
"K_max_Kidney",-2.30258509299405,-2.30258509299405,7885608.40172459,11126619.4776041,-7848646.60958661,-23779331.9131924,22470439.2610874,6728
"K_50_Kidney",3.17805383034795,3.17805383034795,6805933.53313543,9603570.41000158,6785026.63980605,-16760568.7500554,29748017.4069733,6728
"n_Kidney",-2.30258509299405,-2.30258509299405,18107695.7595024,25565258.2424017,18100781.5161216,-4387757.45944895,88997211.2313444,6728
"K_release_Lung",-5.29831736654804,-5.29831736654804,29192776.9166389,41188987.0670564,29181870.9486307,-7072894.35615621,86193697.5590652,6728
"K_max_Lung",-2.30258509299405,-2.30258509299405,10058301.7516812,14225527.3227962,10055750.1222329,-877961.834783036,62813973.2340742,6728
"K_50_Lung",3.17805383034795,3.17805383034795,9007180.56264793,12735279.208254,-8996632.40946365,-62874235.3111647,13067937.4688953,6728
"n_Lung",-2.30258509299405,-2.30258509299405,20447514.1820813,28849475.1969957,20442803.6455658,-1180246.9991153,61008365.0548404,6728
"P_Liver",-2.52572864430826,-2.52572864430826,11596503.978346,16400097.571579,11593328.3687716,-1088224.56086273,76681107.6030081,6728
"P_Brain",-1.89711998488588,-1.89711998488588,1154147.55293064,1663202.72298667,1146581.753962,-11021653.7385668,15104452.6190617,6728
"P_Kidney",-1.89711998488588,-1.89711998488588,24251591.2231711,34209437.7258145,24246076.3763176,-1338400.66947641,68308093.0602955,6728
"P_Spleen",-1.89711998488588,-1.89711998488588,6378822.24575314,9010381.66619593,6377224.04335829,-511497.184027121,32716858.4737592,6728
"P_Lung",-1.89711998488588,-1.89711998488588,19622608.8763666,27711073.1894703,19614609.5540696,-5607323.94421848,96670296.0006842,6728
"P_Rest",-1.89711998488588,-1.89711998488588,8274690.22663178,11687435.7019949,-8263671.82178169,-33700107.0685801,13097407.2412755,6728
"DLC_Liver",-6.90775527898214,-6.90775527898214,8464186.97348796,11970326.9219069,-8462008.2759645,-50350879.5171456,784137.85564635,6728
"DLC_Brain",-13.8155105579643,-13.8155105579643,26426554.1597632,37291346.6586867,26417658.768871,-4590306.69153435,85015110.2566997,6728
"DLC_Kidney",-6.90775527898214,-6.90775527898214,34307526.9464899,48402389.7868892,34299601.6865508,-1945394.25738185,99212278.8420602,6728
"DLC_Spleen",-6.90775527898214,-6.90775527898214,7845399.48757883,11094789.0034351,7843451.14999128,-723076.508643317,53694809.270246,6728
"DLC_Lung",-6.90775527898214,-6.90775527898214,28345951.2012103,40009387.3927787,28339175.4390286,-1876777.01793518,108219668.437505,6728
"DLC_Rest",-13.8155105579643,-13.8155105579643,3447840.22698887,4928259.44620474,3443616.72624544,-4174156.59903781,40440872.531326,6728
"Kbile",-6.72543372218818,-6.72543372218818,9491031.94305125,13411273.7987771,9485695.6014926,-5036332.23293036,45580355.8224488,6728
"Kurine",-9.02801881518223,-9.02801881518223,5654578.49930457,8122108.69806162,5645276.25046934,-11985476.158884,73228354.0160097,6728
